incident_id,incident_date,incident_time,hour,day_of_week,month,year,province,precinct,latitude,longitude,crime_category,crime_subcategory,attack_pattern,weapon_used,suspect_count,victim_age,victim_gender,property_lost,property_recovered,arrest_made,clearance_rate_days,gang_related,repeat_location
SAPS-2022-000000,2022-07-29,12:47:00,12,Friday,7,2022,KwaZulu-Natal,Durban Central,-29.812729940576318,31.450714306409917,Violent Crime,Attempted murder,Standard Attempted murder,Other,5,20,M,23266.09,4201.99,0,,1,0
SAPS-2022-000001,2022-01-14,19:51:00,19,Friday,1,2022,Eastern Cape,Motherwell,-32.7680060581886,26.697316968394073,Property Crime,Theft out of motor vehicle,Standard Theft out of motor vehicle,Knife,2,35,M,76349.41,2341.11,0,,0,0
SAPS-2024-000002,2024-02-15,09:59:00,9,Thursday,2,2024,Gauteng,Soweto,-26.343981359557564,27.655994520336204,Robbery,Carjacking,Hijacking - traffic light,Firearm,3,57,F,70457.18,968.6,1,26.8,0,1
SAPS-2024-000003,2024-01-18,17:53:00,17,Thursday,1,2024,Gauteng,Jeppe,-26.4419163878318,28.366176145774936,Sexual Offenses,Sexual assault,Standard Sexual assault,Knife,1,60,F,0.0,0.0,0,,0,1
SAPS-2023-000004,2023-03-26,17:17:00,17,Sunday,3,2023,KwaZulu-Natal,Chatsworth,-29.699442494128395,31.208072577796045,Property Crime,Housebreaking,Standard Housebreaking,Blunt object,1,32,M,0.0,0.0,0,,0,1
SAPS-2024-000005,2024-07-28,19:25:00,19,Sunday,7,2024,North West,Potchefstroom,-27.458831011408396,26.939819704323988,Violent Crime,Attempted murder,Standard Attempted murder,Knife,3,65,F,0.0,0.0,0,,1,0
SAPS-2022-000006,2022-08-13,08:03:00,8,Saturday,8,2022,Western Cape,Mitchells Plain,-33.78377867959979,18.327403466406967,Contact Crime,Robbery with firearm,Standard Robbery with firearm,Knife,3,45,M,59588.84,8367.16,1,50.2,0,0
SAPS-2022-000007,2022-08-17,20:21:00,20,Wednesday,8,2022,KwaZulu-Natal,Durban Central,-29.90908751639645,30.683404509853435,Contact Crime,Robbery with firearm,Standard Robbery with firearm,Blunt object,2,18,F,0.0,0.0,0,,0,0
SAPS-2022-000008,2022-11-27,10:48:00,10,Sunday,11,2022,Gauteng,Roodepoort,-26.19575775704046,28.024756431632238,Violent Crime,Attempted murder,Standard Attempted murder,Other,3,18,F,11186.77,1218.17,0,,0,0
SAPS-2022-000009,2022-05-22,08:31:00,8,Sunday,5,2022,Gauteng,Hillbrow,-26.068054981357886,27.79122914019804,Contact Crime,Common assault,Standard Common assault,Other,1,60,F,0.0,0.0,1,48.0,0,0
